,bw,loglambda,contam_data,IFnorm,IFnorm_lim
0,5.0,-8.0,50.0,47.876554689387824,293.0767458373677
1,5.0,-8.0,60.0,47.96233168162457,293.0767458373677
2,5.0,-8.0,70.0,47.74012930873867,293.0767458373677
3,5.0,-8.0,80.0,29.990770894201418,293.0767458373677
4,5.0,-8.0,90.0,40.80747861007992,293.0767458373677
5,5.0,-8.0,100.0,148.5698434220792,293.0767458373677
6,5.0,-8.0,110.0,203.85044535363144,293.0767458373677
7,5.0,-8.0,120.0,224.25569851369653,293.0767458373677
8,5.0,-8.0,130.0,228.11832546142068,293.0767458373677
9,5.0,-8.0,140.0,231.59850121582028,293.0767458373677
10,5.0,-8.0,150.0,234.78987185482822,293.0767458373677
11,5.0,-8.0,160.0,237.7103840745812,293.0767458373677
12,5.0,-8.0,170.0,240.38292795754504,293.0767458373677
13,5.0,-8.0,180.0,242.83128199131238,293.0767458373677
14,5.0,-8.0,190.0,245.07821260059916,293.0767458373677
15,5.0,-8.0,200.0,247.14466521644323,293.0767458373677
16,5.0,-8.0,210.0,249.04950449357491,293.0767458373677
17,5.0,-8.0,220.0,250.80952428785832,293.0767458373677
18,5.0,-8.0,230.0,252.439582371451,293.0767458373677
19,5.0,-8.0,240.0,253.9527847629289,293.0767458373677
20,5.0,-8.0,250.0,255.360681390782,293.0767458373677
21,5.0,-8.0,260.0,256.6734543639451,293.0767458373677
22,5.0,-8.0,270.0,257.90009049676314,293.0767458373677
23,5.0,-8.0,280.0,259.0485351763844,293.0767458373677
24,5.0,-8.0,290.0,260.125827433185,293.0767458373677
25,5.0,-8.0,300.0,261.13821740392046,293.0767458373677
26,5.0,-8.0,310.0,262.0912679315746,293.0767458373677
27,5.0,-8.0,320.0,262.98994219277415,293.0767458373677
28,5.0,-8.0,330.0,263.83867918529813,293.0767458373677
29,5.0,-8.0,340.0,264.64145875521456,293.0767458373677
30,5.0,-8.0,350.0,265.40185765512354,293.0767458373677
31,5.0,-8.0,360.0,266.12309793300545,293.0767458373677
32,5.0,-8.0,370.0,266.8080887705984,293.0767458373677
33,5.0,-8.0,380.0,267.45946272767384,293.0767458373677
34,5.0,-8.0,390.0,268.0796072060125,293.0767458373677
35,5.0,-8.0,400.0,268.6706918238387,293.0767458373677
36,5.0,-8.0,410.0,269.23469228637066,293.0767458373677
37,5.0,-8.0,420.0,269.77341124895275,293.0767458373677
38,5.0,-8.0,430.0,270.2884965938383,293.0767458373677
39,5.0,-8.0,440.0,270.7814574781205,293.0767458373677
40,5.0,-8.0,450.0,271.2536784567402,293.0767458373677
41,5.0,-8.0,460.0,271.7064319393929,293.0767458373677
42,5.0,-8.0,470.0,272.1408892021401,293.0767458373677
43,5.0,-8.0,480.0,272.55813014246803,293.0767458373677
44,5.0,-8.0,490.0,272.9591519394631,293.0767458373677
45,5.0,-8.0,500.0,273.3448767578694,293.0767458373677
0,5.0,-10.0,50.0,128.17058456424814,2165.5162667344644
1,5.0,-10.0,60.0,141.82996140828817,2165.5162667344644
2,5.0,-10.0,70.0,152.4673805538462,2165.5162667344644
3,5.0,-10.0,80.0,85.86900135276949,2165.5162667344644
4,5.0,-10.0,90.0,117.38428077862368,2165.5162667344644
5,5.0,-10.0,100.0,664.725495027466,2165.5162667344644
6,5.0,-10.0,110.0,1497.6182218077313,2165.5162667344644
7,5.0,-10.0,120.0,1655.0840645649666,2165.5162667344644
8,5.0,-10.0,130.0,1685.522081159453,2165.5162667344644
9,5.0,-10.0,140.0,1711.2383218941059,2165.5162667344644
10,5.0,-10.0,150.0,1734.8202997261153,2165.5162667344644
11,5.0,-10.0,160.0,1756.4008069928718,2165.5162667344644
12,5.0,-10.0,170.0,1776.1489902380608,2165.5162667344644
13,5.0,-10.0,180.0,1794.2405595090818,2165.5162667344644
14,5.0,-10.0,190.0,1810.8437454810082,2165.5162667344644
15,5.0,-10.0,200.0,1826.113322245415,2165.5162667344644
16,5.0,-10.0,210.0,1840.1886878759024,2165.5162667344644
17,5.0,-10.0,220.0,1853.1939382907694,2165.5162667344644
18,5.0,-10.0,230.0,1865.2388628065119,2165.5162667344644
19,5.0,-10.0,240.0,1876.4203062851195,2165.5162667344644
20,5.0,-10.0,250.0,1886.8236150073683,2165.5162667344644
21,5.0,-10.0,260.0,1896.5240279026132,2165.5162667344644
22,5.0,-10.0,270.0,1905.5879514190124,2165.5162667344644
23,5.0,-10.0,280.0,1914.0740965193218,2165.5162667344644
24,5.0,-10.0,290.0,1922.0344767743115,2165.5162667344644
25,5.0,-10.0,300.0,1929.5152763463523,2165.5162667344644
26,5.0,-10.0,310.0,1936.5576007510222,2165.5162667344644
27,5.0,-10.0,320.0,1943.1981243697662,2165.5162667344644
28,5.0,-10.0,330.0,1949.4696482553156,2165.5162667344644
29,5.0,-10.0,340.0,1955.4015806409077,2165.5162667344644
30,5.0,-10.0,350.0,1961.0203511746176,2165.5162667344644
31,5.0,-10.0,360.0,1966.34976848145,2165.5162667344644
32,5.0,-10.0,370.0,1971.4113293214398,2165.5162667344644
33,5.0,-10.0,380.0,1976.2244864108075,2165.5162667344644
34,5.0,-10.0,390.0,1980.8068809196977,2165.5162667344644
35,5.0,-10.0,400.0,1985.1745447508092,2165.5162667344644
36,5.0,-10.0,410.0,1989.342076926575,2165.5162667344644
37,5.0,-10.0,420.0,1993.3227977534705,2165.5162667344644
38,5.0,-10.0,430.0,1997.128883874901,2165.5162667344644
39,5.0,-10.0,440.0,2000.7714868543399,2165.5162667344644
40,5.0,-10.0,450.0,2004.2608375345662,2165.5162667344644
41,5.0,-10.0,460.0,2007.6063380855385,2165.5162667344644
42,5.0,-10.0,470.0,2010.8166433724975,2165.5162667344644
43,5.0,-10.0,480.0,2013.8997330390096,2165.5162667344644
44,5.0,-10.0,490.0,2016.8629754995582,2165.5162667344644
45,5.0,-10.0,500.0,2019.713184867082,2165.5162667344644
0,5.0,-12.0,50.0,407.90040340489725,16001.086694267367
1,5.0,-12.0,60.0,416.10815813439626,16001.086694267367
2,5.0,-12.0,70.0,449.4201522575186,16001.086694267367
3,5.0,-12.0,80.0,245.3398264754177,16001.086694267367
4,5.0,-12.0,90.0,370.289624905523,16001.086694267367
5,5.0,-12.0,100.0,2965.475948470078,16001.086694267367
6,5.0,-12.0,110.0,14361.542888192687,16001.086694267367
7,5.0,-12.0,120.0,12129.002545232255,16001.086694267367
8,5.0,-12.0,130.0,12454.36298876157,16001.086694267367
9,5.0,-12.0,140.0,12644.392320977773,16001.086694267367
10,5.0,-12.0,150.0,12818.641471301842,16001.086694267367
11,5.0,-12.0,160.0,12978.101579024642,16001.086694267367
12,5.0,-12.0,170.0,13124.022485593254,16001.086694267367
13,5.0,-12.0,180.0,13257.702529784463,16001.086694267367
14,5.0,-12.0,190.0,13380.38478395139,16001.086694267367
15,5.0,-12.0,200.0,13493.212888093452,16001.086694267367
16,5.0,-12.0,210.0,13597.216867136163,16001.086694267367
17,5.0,-12.0,220.0,13693.313676814745,16001.086694267367
18,5.0,-12.0,230.0,13782.314559980467,16001.086694267367
19,5.0,-12.0,240.0,13864.935111678282,16001.086694267367
20,5.0,-12.0,250.0,13941.805962867315,16001.086694267367
21,5.0,-12.0,260.0,14013.48306036465,16001.086694267367
22,5.0,-12.0,270.0,14080.457086990276,16001.086694267367
23,5.0,-12.0,280.0,14143.16186294035,16001.086694267367
24,5.0,-12.0,290.0,14201.981720794749,16001.086694267367
25,5.0,-12.0,300.0,14257.257919129072,16001.086694267367
26,5.0,-12.0,310.0,14309.294189961223,16001.086694267367
27,5.0,-12.0,320.0,14358.361523281215,16001.086694267367
28,5.0,-12.0,330.0,14404.702288725399,16001.086694267367
29,5.0,-12.0,340.0,14448.53378610167,16001.086694267367
30,5.0,-12.0,350.0,14490.051306203302,16001.086694267367
31,5.0,-12.0,360.0,14529.43077286635,16001.086694267367
32,5.0,-12.0,370.0,14566.831027365537,16001.086694267367
33,5.0,-12.0,380.0,14602.39580736772,16001.086694267367
34,5.0,-12.0,390.0,14636.255464877477,16001.086694267367
35,5.0,-12.0,400.0,14668.528460891006,16001.086694267367
36,5.0,-12.0,410.0,14699.322668735847,16001.086694267367
37,5.0,-12.0,420.0,14728.736513203852,16001.086694267367
38,5.0,-12.0,430.0,14756.859968468221,16001.086694267367
39,5.0,-12.0,440.0,14783.775434304127,16001.086694267367
40,5.0,-12.0,450.0,14809.558507207768,16001.086694267367
41,5.0,-12.0,460.0,14834.278660545637,16001.086694267367
42,5.0,-12.0,470.0,14857.99984579013,16001.086694267367
43,5.0,-12.0,480.0,14880.781025147011,16001.086694267367
44,5.0,-12.0,490.0,14902.6766444019,16001.086694267367
45,5.0,-12.0,500.0,14923.737053562454,16001.086694267367
0,7.0,-8.0,50.0,33.03321425922089,182.11226740659683
1,7.0,-8.0,60.0,27.43468273113325,182.11226740659683
2,7.0,-8.0,70.0,27.299661081090576,182.11226740659683
3,7.0,-8.0,80.0,20.34207963915622,182.11226740659683
4,7.0,-8.0,90.0,26.787179499377505,182.11226740659683
5,7.0,-8.0,100.0,79.5806640519135,182.11226740659683
6,7.0,-8.0,110.0,102.4456144222486,182.11226740659683
7,7.0,-8.0,120.0,120.11391385642737,182.11226740659683
8,7.0,-8.0,130.0,126.03817617056418,182.11226740659683
9,7.0,-8.0,140.0,129.2581555324994,182.11226740659683
10,7.0,-8.0,150.0,132.16305972139762,182.11226740659683
11,7.0,-8.0,160.0,134.8003219213754,182.11226740659683
12,7.0,-8.0,170.0,137.19703889744693,182.11226740659683
13,7.0,-8.0,180.0,139.37948002366545,182.11226740659683
14,7.0,-8.0,190.0,141.37176366895736,182.11226740659683
15,7.0,-8.0,200.0,143.19543402229144,182.11226740659683
16,7.0,-8.0,210.0,144.8694653469378,182.11226740659683
17,7.0,-8.0,220.0,146.4104505951758,182.11226740659683
18,7.0,-8.0,230.0,147.83285611369627,182.11226740659683
19,7.0,-8.0,240.0,149.14928608983436,182.11226740659683
20,7.0,-8.0,250.0,150.37073133725906,182.11226740659683
21,7.0,-8.0,260.0,151.50679244361632,182.11226740659683
22,7.0,-8.0,270.0,152.56587484869658,182.11226740659683
23,7.0,-8.0,280.0,153.555356947661,182.11226740659683
24,7.0,-8.0,290.0,154.4817337949286,182.11226740659683
25,7.0,-8.0,300.0,155.35073944212428,182.11226740659683
26,7.0,-8.0,310.0,156.16745090869114,182.11226740659683
27,7.0,-8.0,320.0,156.9363765311138,182.11226740659683
28,7.0,-8.0,330.0,157.66153110635196,182.11226740659683
29,7.0,-8.0,340.0,158.34649990624035,182.11226740659683
30,7.0,-8.0,350.0,158.99449332415637,182.11226740659683
31,7.0,-8.0,360.0,159.6083936357086,182.11226740659683
32,7.0,-8.0,370.0,160.19079511432236,182.11226740659683
33,7.0,-8.0,380.0,160.74403853848858,182.11226740659683
34,7.0,-8.0,390.0,161.27024095625524,182.11226740659683
35,7.0,-8.0,400.0,161.77132142983507,182.11226740659683
36,7.0,-8.0,410.0,162.2490233646599,182.11226740659683
37,7.0,-8.0,420.0,162.7049339288956,182.11226740659683
38,7.0,-8.0,430.0,163.1405009879288,182.11226740659683
39,7.0,-8.0,440.0,163.55704791073651,182.11226740659683
40,7.0,-8.0,450.0,163.95578654892205,182.11226740659683
41,7.0,-8.0,460.0,164.33782864252112,182.11226740659683
42,7.0,-8.0,470.0,164.7041958677943,182.11226740659683
43,7.0,-8.0,480.0,165.05582870975016,182.11226740659683
44,7.0,-8.0,490.0,165.39359431497292,182.11226740659683
45,7.0,-8.0,500.0,165.7182934575385,182.11226740659683
0,7.0,-10.0,50.0,93.2712919290346,1345.5946779512853
1,7.0,-10.0,60.0,83.03349082165606,1345.5946779512853
2,7.0,-10.0,70.0,77.36770128057827,1345.5946779512853
3,7.0,-10.0,80.0,56.05527865844241,1345.5946779512853
4,7.0,-10.0,90.0,77.69626491908215,1345.5946779512853
5,7.0,-10.0,100.0,464.1898631868798,1345.5946779512853
6,7.0,-10.0,110.0,791.3112131203671,1345.5946779512853
7,7.0,-10.0,120.0,840.2400042414677,1345.5946779512853
8,7.0,-10.0,130.0,930.595518318885,1345.5946779512853
9,7.0,-10.0,140.0,955.0342680972681,1345.5946779512853
10,7.0,-10.0,150.0,976.5008969745729,1345.5946779512853
11,7.0,-10.0,160.0,995.9889369319519,1345.5946779512853
12,7.0,-10.0,170.0,1013.6994299524799,1345.5946779512853
13,7.0,-10.0,180.0,1029.826505366442,1345.5946779512853
14,7.0,-10.0,190.0,1044.548394318683,1345.5946779512853
15,7.0,-10.0,200.0,1058.0243037019493,1345.5946779512853
16,7.0,-10.0,210.0,1070.3944482424238,1345.5946779512853
17,7.0,-10.0,220.0,1081.781444738661,1345.5946779512853
18,7.0,-10.0,230.0,1092.2921945457626,1345.5946779512853
19,7.0,-10.0,240.0,1102.0198379441454,1345.5946779512853
20,7.0,-10.0,250.0,1111.0455927166352,1345.5946779512853
21,7.0,-10.0,260.0,1119.44040322468,1345.5946779512853
22,7.0,-10.0,270.0,1127.2663820305293,1345.5946779512853
23,7.0,-10.0,280.0,1134.578052163253,1345.5946779512853
24,7.0,-10.0,290.0,1141.4234090679668,1345.5946779512853
25,7.0,-10.0,300.0,1147.8448246584976,1345.5946779512853
26,7.0,-10.0,310.0,1153.8798156351922,1345.5946779512853
27,7.0,-10.0,320.0,1159.5616963615553,1345.5946779512853
28,7.0,-10.0,330.0,1164.9201341516118,1345.5946779512853
29,7.0,-10.0,340.0,1169.9816223155053,1345.5946779512853
30,7.0,-10.0,350.0,1174.769883979425,1345.5946779512853
31,7.0,-10.0,360.0,1179.3062176299939,1345.5946779512853
32,7.0,-10.0,370.0,1183.6097935530865,1345.5946779512853
33,7.0,-10.0,380.0,1187.6979088286594,1345.5946779512853
34,7.0,-10.0,390.0,1191.5862072780715,1345.5946779512853
35,7.0,-10.0,400.0,1195.2888697057979,1345.5946779512853
36,7.0,-10.0,410.0,1198.8187789013916,1345.5946779512853
37,7.0,-10.0,420.0,1202.1876631410137,1345.5946779512853
38,7.0,-10.0,430.0,1205.4062213255463,1345.5946779512853
39,7.0,-10.0,440.0,1208.4842323927617,1345.5946779512853
40,7.0,-10.0,450.0,1211.430651226231,1345.5946779512853
41,7.0,-10.0,460.0,1214.253692938729,1345.5946779512853
42,7.0,-10.0,470.0,1216.9609071204918,1345.5946779512853
43,7.0,-10.0,480.0,1219.559243402755,1345.5946779512853
44,7.0,-10.0,490.0,1222.0551094861937,1345.5946779512853
45,7.0,-10.0,500.0,1224.4544226154928,1345.5946779512853
0,7.0,-12.0,50.0,263.3350057766249,9942.647973044128
1,7.0,-12.0,60.0,235.02005467795615,9942.647973044128
2,7.0,-12.0,70.0,225.88771311334273,9942.647973044128
3,7.0,-12.0,80.0,150.4086714458023,9942.647973044128
4,7.0,-12.0,90.0,208.71323367430048,9942.647973044128
5,7.0,-12.0,100.0,3245.665186286283,9942.647973044128
6,7.0,-12.0,110.0,8722.37047600566,9942.647973044128
7,7.0,-12.0,120.0,5700.013798050613,9942.647973044128
8,7.0,-12.0,130.0,6857.175753838779,9942.647973044128
9,7.0,-12.0,140.0,7056.736931380114,9942.647973044128
10,7.0,-12.0,150.0,7215.383265542654,9942.647973044128
11,7.0,-12.0,160.0,7359.382207085725,9942.647973044128
12,7.0,-12.0,170.0,7490.246661152599,9942.647973044128
13,7.0,-12.0,180.0,7609.411078807821,9942.647973044128
14,7.0,-12.0,190.0,7718.19243180799,9942.647973044128
15,7.0,-12.0,200.0,7817.7671184881665,9942.647973044128
16,7.0,-12.0,210.0,7909.171201245369,9942.647973044128
17,7.0,-12.0,220.0,7993.310708990421,9942.647973044128
18,7.0,-12.0,230.0,8070.9755472079205,9942.647973044128
19,7.0,-12.0,240.0,8142.853939119386,9942.647973044128
20,7.0,-12.0,250.0,8209.546011208857,9942.647973044128
21,7.0,-12.0,260.0,8271.575978478908,9942.647973044128
22,7.0,-12.0,270.0,8329.402796788074,9942.647973044128
23,7.0,-12.0,280.0,8383.429342111709,9942.647973044128
24,7.0,-12.0,290.0,8434.010257414222,9942.647973044128
25,7.0,-12.0,300.0,8481.45863280093,9942.647973044128
26,7.0,-12.0,310.0,8526.05168270657,9942.647973044128
27,7.0,-12.0,320.0,8568.03557007399,9942.647973044128
28,7.0,-12.0,330.0,8607.629509433453,9942.647973044128
29,7.0,-12.0,340.0,8645.029262287533,9942.647973044128
30,7.0,-12.0,350.0,8680.410120979357,9942.647973044128
31,7.0,-12.0,360.0,8713.929461956164,9942.647973044128
32,7.0,-12.0,370.0,8745.728936186246,9942.647973044128
33,7.0,-12.0,380.0,8775.936353341682,9942.647973044128
34,7.0,-12.0,390.0,8804.667307011196,9942.647973044128
35,7.0,-12.0,400.0,8832.026580415095,9942.647973044128
36,7.0,-12.0,410.0,8858.109365621012,9942.647973044128
37,7.0,-12.0,420.0,8883.002323890723,9942.647973044128
38,7.0,-12.0,430.0,8906.78451033776,9942.647973044128
39,7.0,-12.0,440.0,8929.528182384436,9942.647973044128
40,7.0,-12.0,450.0,8951.299508441916,9942.647973044128
41,7.0,-12.0,460.0,8972.159190688255,9942.647973044128
42,7.0,-12.0,470.0,8992.163013695766,9942.647973044128
43,7.0,-12.0,480.0,9011.36232888612,9942.647973044128
44,7.0,-12.0,490.0,9029.804483307882,9942.647973044128
45,7.0,-12.0,500.0,9047.533199986867,9942.647973044128
0,9.0,-8.0,50.0,24.464572302362605,131.9477888196645
1,9.0,-8.0,60.0,19.862067519313545,131.9477888196645
2,9.0,-8.0,70.0,18.861391212491043,131.9477888196645
3,9.0,-8.0,80.0,13.721853345493265,131.9477888196645
4,9.0,-8.0,90.0,20.05172977316435,131.9477888196645
5,9.0,-8.0,100.0,53.709560931862846,131.9477888196645
6,9.0,-8.0,110.0,63.29345653325318,131.9477888196645
7,9.0,-8.0,120.0,72.59068868522802,131.9477888196645
8,9.0,-8.0,130.0,82.90118828429897,131.9477888196645
9,9.0,-8.0,140.0,86.33045847800771,131.9477888196645
10,9.0,-8.0,150.0,88.96071139372704,131.9477888196645
11,9.0,-8.0,160.0,91.32319013700244,131.9477888196645
12,9.0,-8.0,170.0,93.45739535675997,131.9477888196645
13,9.0,-8.0,180.0,95.39094678420709,131.9477888196645
14,9.0,-8.0,190.0,97.14832241858586,131.9477888196645
15,9.0,-8.0,200.0,98.75086508666051,131.9477888196645
16,9.0,-8.0,210.0,100.21702717338526,131.9477888196645
17,9.0,-8.0,220.0,101.56270944887468,131.9477888196645
18,9.0,-8.0,230.0,102.80160876014513,131.9477888196645
19,9.0,-8.0,240.0,103.94553924133571,131.9477888196645
20,9.0,-8.0,250.0,105.00471495409717,131.9477888196645
21,9.0,-8.0,260.0,105.98799242138612,131.9477888196645
22,9.0,-8.0,270.0,106.9030759883093,131.9477888196645
23,9.0,-8.0,280.0,107.75669052509089,131.9477888196645
24,9.0,-8.0,290.0,108.5547262339386,131.9477888196645
25,9.0,-8.0,300.0,109.30235999187148,131.9477888196645
26,9.0,-8.0,310.0,110.00415712179974,131.9477888196645
27,9.0,-8.0,320.0,110.66415690620993,131.9477888196645
28,9.0,-8.0,330.0,111.28594461720549,131.9477888196645
29,9.0,-8.0,340.0,111.8727123616292,131.9477888196645
30,9.0,-8.0,350.0,112.42731063634051,131.9477888196645
31,9.0,-8.0,360.0,112.95229215219805,131.9477888196645
32,9.0,-8.0,370.0,113.44994920784453,131.9477888196645
33,9.0,-8.0,380.0,113.92234566706435,131.9477888196645
34,9.0,-8.0,390.0,114.37134440783068,131.9477888196645
35,9.0,-8.0,400.0,114.79863095971854,131.9477888196645
36,9.0,-8.0,410.0,115.20573392281193,131.9477888196645
37,9.0,-8.0,420.0,115.59404266032871,131.9477888196645
38,9.0,-8.0,430.0,115.96482267463426,131.9477888196645
39,9.0,-8.0,440.0,116.31922900863127,131.9477888196645
40,9.0,-8.0,450.0,116.65831795887911,131.9477888196645
41,9.0,-8.0,460.0,116.98305734094782,131.9477888196645
42,9.0,-8.0,470.0,117.29433550961761,131.9477888196645
43,9.0,-8.0,480.0,117.59296930512797,131.9477888196645
44,9.0,-8.0,490.0,117.87971107056904,131.9477888196645
45,9.0,-8.0,500.0,118.15525486374004,131.9477888196645
0,9.0,-10.0,50.0,72.38849109225066,974.9070384113802
1,9.0,-10.0,60.0,55.05091695066693,974.9070384113802
2,9.0,-10.0,70.0,55.228556385307705,974.9070384113802
3,9.0,-10.0,80.0,41.76780952167045,974.9070384113802
4,9.0,-10.0,90.0,55.21809759911987,974.9070384113802
5,9.0,-10.0,100.0,349.8817348679461,974.9070384113802
6,9.0,-10.0,110.0,418.5475736052865,974.9070384113802
7,9.0,-10.0,120.0,469.14167577945415,974.9070384113802
8,9.0,-10.0,130.0,602.4948692279646,974.9070384113802
9,9.0,-10.0,140.0,637.5832234729673,974.9070384113802
10,9.0,-10.0,150.0,657.2416255111539,974.9070384113802
11,9.0,-10.0,160.0,674.7017584751226,974.9070384113802
12,9.0,-10.0,170.0,690.4735874098976,974.9070384113802
13,9.0,-10.0,180.0,704.7624984283207,974.9070384113802
14,9.0,-10.0,190.0,717.7494115780431,974.9070384113802
15,9.0,-10.0,200.0,729.5920686858514,974.9070384113802
16,9.0,-10.0,210.0,740.4268459830042,974.9070384113802
17,9.0,-10.0,220.0,750.3712595736017,974.9070384113802
18,9.0,-10.0,230.0,759.5265359425485,974.9070384113802
19,9.0,-10.0,240.0,767.9799864431683,974.9070384113802
20,9.0,-10.0,250.0,775.8070965330592,974.9070384113802
21,9.0,-10.0,260.0,783.073318470066,974.9070384113802
22,9.0,-10.0,270.0,789.8355891944631,974.9070384113802
23,9.0,-10.0,280.0,796.143606795391,974.9070384113802
24,9.0,-10.0,290.0,802.040900772786,974.9070384113802
25,9.0,-10.0,300.0,807.565728862777,974.9070384113802
26,9.0,-10.0,310.0,812.751829201055,974.9070384113802
27,9.0,-10.0,320.0,817.6290523246752,974.9070384113802
28,9.0,-10.0,330.0,822.2238935155403,974.9070384113802
29,9.0,-10.0,340.0,826.5599424769144,974.9070384113802
30,9.0,-10.0,350.0,830.6582643502588,974.9070384113802
31,9.0,-10.0,360.0,834.537723592055,974.9070384113802
32,9.0,-10.0,370.0,838.2152601793605,974.9070384113802
33,9.0,-10.0,380.0,841.7061259325295,974.9070384113802
34,9.0,-10.0,390.0,845.024087371268,974.9070384113802
35,9.0,-10.0,400.0,848.1816004008564,974.9070384113802
36,9.0,-10.0,410.0,851.1899612121969,974.9070384113802
37,9.0,-10.0,420.0,854.0594370335535,974.9070384113802
38,9.0,-10.0,430.0,856.799379761708,974.9070384113802
39,9.0,-10.0,440.0,859.4183250000108,974.9070384113802
40,9.0,-10.0,450.0,861.9240786196265,974.9070384113802
41,9.0,-10.0,460.0,864.3237926214183,974.9070384113802
42,9.0,-10.0,470.0,866.6240317958565,974.9070384113802
43,9.0,-10.0,480.0,868.8308324462126,974.9070384113802
44,9.0,-10.0,490.0,870.9497542473277,974.9070384113802
45,9.0,-10.0,500.0,872.9859261513654,974.9070384113802
0,9.0,-12.0,50.0,204.53964086528688,7203.6100461542
1,9.0,-12.0,60.0,158.69115636425602,7203.6100461542
2,9.0,-12.0,70.0,157.87995714887595,7203.6100461542
3,9.0,-12.0,80.0,124.36507849370788,7203.6100461542
4,9.0,-12.0,90.0,177.79891520350498,7203.6100461542
5,9.0,-12.0,100.0,1645.7242343911446,7203.6100461542
6,9.0,-12.0,110.0,2910.5288415767427,7203.6100461542
7,9.0,-12.0,120.0,4103.830572670325,7203.6100461542
8,9.0,-12.0,130.0,4171.5667798780005,7203.6100461542
9,9.0,-12.0,140.0,4703.0230547115025,7203.6100461542
10,9.0,-12.0,150.0,4856.296565035206,7203.6100461542
11,9.0,-12.0,160.0,4985.361739236834,7203.6100461542
12,9.0,-12.0,170.0,5101.90182834341,7203.6100461542
13,9.0,-12.0,180.0,5207.484331076723,7203.6100461542
14,9.0,-12.0,190.0,5303.446180667059,7203.6100461542
15,9.0,-12.0,200.0,5390.952960502183,7203.6100461542
16,9.0,-12.0,210.0,5471.012378185697,7203.6100461542
17,9.0,-12.0,220.0,5544.49277958879,7203.6100461542
18,9.0,-12.0,230.0,5612.142143207793,7203.6100461542
19,9.0,-12.0,240.0,5674.605625934708,7203.6100461542
20,9.0,-12.0,250.0,5732.441000951861,7203.6100461542
21,9.0,-12.0,260.0,5786.131904377233,7203.6100461542
22,9.0,-12.0,270.0,5836.099051221569,7203.6100461542
23,9.0,-12.0,280.0,5882.709667456106,7203.6100461542
24,9.0,-12.0,290.0,5926.285398382438,7203.6100461542
25,9.0,-12.0,300.0,5967.10893543899,7203.6100461542
26,9.0,-12.0,310.0,6005.429574067961,7203.6100461542
27,9.0,-12.0,320.0,6041.467883683494,7203.6100461542
28,9.0,-12.0,330.0,6075.419641244846,7203.6100461542
29,9.0,-12.0,340.0,6107.459153987704,7203.6100461542
30,9.0,-12.0,350.0,6137.742074816656,7203.6100461542
31,9.0,-12.0,360.0,6166.407795480061,7203.6100461542
32,9.0,-12.0,370.0,6193.5814874938305,7203.6100461542
33,9.0,-12.0,380.0,6219.375848364316,7203.6100461542
34,9.0,-12.0,390.0,6243.892600520634,7203.6100461542
35,9.0,-12.0,400.0,6267.223782095643,7203.6100461542
36,9.0,-12.0,410.0,6289.452861947215,7203.6100461542
37,9.0,-12.0,420.0,6310.655705800608,7203.6100461542
38,9.0,-12.0,430.0,6330.901415884331,7203.6100461542
39,9.0,-12.0,440.0,6350.253062735395,7203.6100461542
40,9.0,-12.0,450.0,6368.768324811686,7203.6100461542
41,9.0,-12.0,460.0,6386.500049045237,7203.6100461542
42,9.0,-12.0,470.0,6403.496743400817,7203.6100461542
43,9.0,-12.0,480.0,6419.803010789052,7203.6100461542
44,9.0,-12.0,490.0,6435.459932257372,7203.6100461542
45,9.0,-12.0,500.0,6450.505406193322,7203.6100461542
